chrom	pos	side	support	median_mapq	median_cliplen	example_reads	genes
chr22	10640760	L	3	255	22	A01045:715:HMN2KDSX2:3:1219:14290:1094,A01045:715:HMN2KDSX2:3:2169:9769:26459,A01045:715:HMN2KDSX2:3:1553:5511:6245	
chr22	10640850	L	1	255	32	A01045:715:HMN2KDSX2:3:2432:2853:15640	
chr22	10640965	R	1	255	23	A01045:715:HMN2KDSX2:3:1423:25437:15045	
chr22	10940570	R	1	255	35	A01045:715:HMN2KDSX2:3:1131:24777:29403	
chr22	10944790	L	2	255	38	A01045:715:HMN2KDSX2:3:1348:3323:12414,A01045:715:HMN2KDSX2:3:2241:19434:7811	
chr22	10944901	R	2	255	38	A01045:715:HMN2KDSX2:3:1348:3323:12414,A01045:715:HMN2KDSX2:3:2241:19434:7811	
chr22	10950175	R	1	255	32	A01045:715:HMN2KDSX2:3:1620:17409:5995	
chr22	11065254	L	3	255	51	A01045:715:HMN2KDSX2:3:2473:3577:5901,A01045:715:HMN2KDSX2:3:2473:3577:5995,A01045:715:HMN2KDSX2:3:2558:23556:18646	
chr22	11065507	R	2	255	48	A01045:715:HMN2KDSX2:3:2458:22806:26616,A01045:715:HMN2KDSX2:3:2458:22661:27117	
chr22	11065605	L	1	255	29	A01045:715:HMN2KDSX2:3:2520:19515:22733	
chr22	11859235	L	3	255	40	A01045:715:HMN2KDSX2:3:1343:30807:10786,A01045:715:HMN2KDSX2:3:1633:31485:33223,A01045:715:HMN2KDSX2:3:2260:30318:9565	
chr22	11869125	R	1	255	81	A01045:715:HMN2KDSX2:3:1164:13322:10379	
chr22	11873842	L	1	255	72	A01045:715:HMN2KDSX2:3:1442:13566:21418	
chr22	11889450	L	1	255	21	A01045:715:HMN2KDSX2:3:2575:32262:2879	
chr22	11949907	L	2	255	69	A01045:715:HMN2KDSX2:3:1320:16134:15624,A01045:715:HMN2KDSX2:3:2616:16360:31610	
chr22	11973415	L	3	255	52	A01045:715:HMN2KDSX2:3:1630:1000:30342,A01045:715:HMN2KDSX2:3:1634:18819:33489,A01045:715:HMN2KDSX2:3:2562:17083:23249	
chr22	12133700	L	1	255	43	A01045:715:HMN2KDSX2:3:1476:22092:18834	
chr22	12133845	L	1	255	28	A01045:715:HMN2KDSX2:3:1476:22092:18834	
chr22	12176270	L	1	255	37	A01045:715:HMN2KDSX2:3:2668:3658:7607	
chr22	12562074	L	1	255	20	A01045:715:HMN2KDSX2:3:2648:13928:4570	
chr22	12562203	R	1	255	20	A01045:715:HMN2KDSX2:3:2648:13928:4570	
chr22	12602816	R	2	255	27	A01045:715:HMN2KDSX2:3:1265:31177:17065,A01045:715:HMN2KDSX2:3:1265:31177:17065	
chr22	12615533	R	2	255	72	A01045:715:HMN2KDSX2:3:1164:24596:36354,A01045:715:HMN2KDSX2:3:2104:16007:29966	
chr22	12625435	L	1	255	26	A01045:715:HMN2KDSX2:3:1457:16297:12900	
chr22	12625558	R	1	255	26	A01045:715:HMN2KDSX2:3:1457:16297:12900	
chr22	12625861	L	1	255	23	A01045:715:HMN2KDSX2:3:2108:31340:19132	
chr22	12625987	R	1	255	23	A01045:715:HMN2KDSX2:3:2108:31340:19132	
chr22	12626616	L	1	255	43	A01045:715:HMN2KDSX2:3:1506:6063:35102	
chr22	12626718	R	1	255	47	A01045:715:HMN2KDSX2:3:1506:6063:35102	
chr22	15217134	L	1	255	35	A01045:715:HMN2KDSX2:3:2313:8856:17707	
chr22	15217248	R	1	255	35	A01045:715:HMN2KDSX2:3:2313:8856:17707	
chr22	15561472	L	4	255	52	A01045:715:HMN2KDSX2:3:1410:16649:28103,A01045:715:HMN2KDSX2:3:2251:20699:14920,A01045:715:HMN2KDSX2:3:2610:25373:3161	
chr22	15561675	L	1	255	42	A01045:715:HMN2KDSX2:3:2565:7401:31688	
chr22	15698546	L	1	255	22	A01045:715:HMN2KDSX2:3:2610:10700:10942	POTEH
chr22	15698768	R	1	255	22	A01045:715:HMN2KDSX2:3:2610:10700:10942	POTEH
chr22	15732179	L	1	255	21	A01045:715:HMN2KDSX2:3:2654:10303:20087	
chr22	15734846	R	1	255	20	A01045:715:HMN2KDSX2:3:2101:27679:29074	
chr22	15738871	L	2	255	32	A01045:715:HMN2KDSX2:3:1669:15808:6355,A01045:715:HMN2KDSX2:3:2638:8431:22044	
chr22	15740251	R	1	255	55	A01045:715:HMN2KDSX2:3:2152:15139:20854	
chr22	15746242	L	1	255	47	A01045:715:HMN2KDSX2:3:1656:24849:16501	
chr22	15746344	R	1	255	47	A01045:715:HMN2KDSX2:3:1656:24849:16501	
chr22	15765548	L	1	255	24	A01045:715:HMN2KDSX2:3:1578:25301:32471	
chr22	15765673	R	1	255	24	A01045:715:HMN2KDSX2:3:1578:25301:32471	
chr22	15817374	L	1	255	83	A01045:715:HMN2KDSX2:3:1673:6668:2206	
chr22	15817507	R	1	255	55	A01045:715:HMN2KDSX2:3:2148:8648:10520	
chr22	15818784	L	2	255	31	A01045:715:HMN2KDSX2:3:1113:17137:27727,A01045:715:HMN2KDSX2:3:1113:15393:29935	
chr22	15818902	R	2	255	31	A01045:715:HMN2KDSX2:3:1113:17137:27727,A01045:715:HMN2KDSX2:3:1113:15393:29935	
chr22	15827611	L	2	255	30	A01045:715:HMN2KDSX2:3:1162:23213:32737,A01045:715:HMN2KDSX2:3:1348:7889:4664	
chr22	15827730	R	2	255	30	A01045:715:HMN2KDSX2:3:1162:23213:32737,A01045:715:HMN2KDSX2:3:1348:7889:4664	
chr22	15853807	L	2	255	46	A01045:715:HMN2KDSX2:3:2655:31575:20447,A01045:715:HMN2KDSX2:3:1147:20066:8813	
chr22	15853910	R	2	255	46	A01045:715:HMN2KDSX2:3:2655:31575:20447,A01045:715:HMN2KDSX2:3:1147:20066:8813	
chr22	15854377	R	3	255	69	A01045:715:HMN2KDSX2:3:1168:26802:5259,A01045:715:HMN2KDSX2:3:1331:6153:3630,A01045:715:HMN2KDSX2:3:2138:10646:17519	TOMM40P2
