chrom	pos	side	support	median_mapq	median_cliplen	example_reads	genes
chr21	5241583	L	1	255	37	A01045:715:HMN2KDSX2:3:1336:8612:4163	
chr21	6237554	L	1	255	39	A01045:715:HMN2KDSX2:3:2216:30192:1454	
chr21	6241649	R	3	255	33	A01045:715:HMN2KDSX2:3:1252:19117:35039,A01045:715:HMN2KDSX2:3:1663:6415:21997,A01045:715:HMN2KDSX2:3:2328:19524:2738	
chr21	6242121	L	2	255	69	A01045:715:HMN2KDSX2:3:1256:12165:19116,A01045:715:HMN2KDSX2:3:2469:5376:21699	
chr21	6243017	R	3	255	23	A01045:715:HMN2KDSX2:3:1669:28085:27211,A01045:715:HMN2KDSX2:3:2437:1823:17425,A01045:715:HMN2KDSX2:3:2577:30382:23954	
chr21	6243324	L	1	255	35	A01045:715:HMN2KDSX2:3:1117:23827:10254	
chr21	6320888	L	1	255	47	A01045:715:HMN2KDSX2:3:2374:31955:14058	
chr21	6320990	R	1	255	47	A01045:715:HMN2KDSX2:3:2374:31955:14058	
chr21	6322538	L	2	255	101	A01045:715:HMN2KDSX2:3:1410:12156:35884,A01045:715:HMN2KDSX2:3:2425:31566:5932	
chr21	6322697	R	2	255	56	A01045:715:HMN2KDSX2:3:2324:14018:6543,A01045:715:HMN2KDSX2:3:2324:4924:35039	
chr21	6329089	L	2	255	29	A01045:715:HMN2KDSX2:3:1141:18575:7889,A01045:715:HMN2KDSX2:3:1545:30219:12587	
chr21	6329209	R	2	255	29	A01045:715:HMN2KDSX2:3:1141:18575:7889,A01045:715:HMN2KDSX2:3:1545:30219:12587	
chr21	6345044	L	1	255	22	A01045:715:HMN2KDSX2:3:2333:11586:31641	
chr21	6363656	L	1	255	44	A01045:715:HMN2KDSX2:3:1450:31503:18818	
chr21	6363761	R	1	255	44	A01045:715:HMN2KDSX2:3:1450:31503:18818	
chr21	6366355	L	1	255	91	A01045:715:HMN2KDSX2:3:2237:24614:18443	
chr21	6368594	L	1	255	39	A01045:715:HMN2KDSX2:3:1406:30427:35744	
chr21	6368965	L	1	255	29	A01045:715:HMN2KDSX2:3:1219:3161:24690	
chr21	6369085	R	1	255	29	A01045:715:HMN2KDSX2:3:1219:3161:24690	
chr21	6376674	L	2	255	95	A01045:715:HMN2KDSX2:3:1326:9489:27539,A01045:715:HMN2KDSX2:3:1326:10230:32424	
chr21	6630182	L	1	255	27	A01045:715:HMN2KDSX2:3:1106:23502:37027	
chr21	6631945	R	1	255	80	A01045:715:HMN2KDSX2:3:2278:24135:11162	
chr21	6632109	R	2	255	23	A01045:715:HMN2KDSX2:3:2102:24080:14920,A01045:715:HMN2KDSX2:3:2609:31340:22983	
chr21	6634937	L	1	255	43	A01045:715:HMN2KDSX2:3:2518:14751:25003	
chr21	6637151	R	1	255	39	A01045:715:HMN2KDSX2:3:1129:28736:6605	
chr21	6641187	L	3	255	32	A01045:715:HMN2KDSX2:3:1252:19117:35039,A01045:715:HMN2KDSX2:3:1663:6415:21997,A01045:715:HMN2KDSX2:3:2328:19524:2738	
chr21	6642518	L	3	255	22	A01045:715:HMN2KDSX2:3:1669:28085:27211,A01045:715:HMN2KDSX2:3:2437:1823:17425,A01045:715:HMN2KDSX2:3:2577:30382:23954	
chr21	6643998	L	1	255	36	A01045:715:HMN2KDSX2:3:1309:9381:13886	
chr21	6644111	R	1	255	36	A01045:715:HMN2KDSX2:3:1309:9381:13886	
chr21	6655290	L	1	255	33	A01045:715:HMN2KDSX2:3:2428:28266:36479	
chr21	6655372	R	1	255	34	A01045:715:HMN2KDSX2:3:2428:28266:36479	
chr21	6659988	R	2	255	34	A01045:715:HMN2KDSX2:3:2305:30933:26005,A01045:715:HMN2KDSX2:3:1637:15067:10802	
chr21	6660413	R	1	255	30	A01045:715:HMN2KDSX2:3:1126:1108:18505	
chr21	6661177	R	1	255	35	A01045:715:HMN2KDSX2:3:2166:20790:13103	
chr21	6661314	R	1	255	29	A01045:715:HMN2KDSX2:3:1614:13395:27508	
chr21	6661488	R	1	255	20	A01045:715:HMN2KDSX2:3:2663:30183:26271	
chr21	6661909	R	1	255	23	A01045:715:HMN2KDSX2:3:1306:9453:20525	
chr21	6663335	R	3	255	48	A01045:715:HMN2KDSX2:3:1561:32570:27555,A01045:715:HMN2KDSX2:3:2341:27525:30467,A01045:715:HMN2KDSX2:3:2407:21269:3161	
chr21	6663606	R	1	255	23	A01045:715:HMN2KDSX2:3:2371:3378:28072	
chr21	6664012	R	1	255	42	A01045:715:HMN2KDSX2:3:1203:28655:11882	
chr21	6664879	R	1	255	31	A01045:715:HMN2KDSX2:3:2442:24306:6605	
chr21	6665490	R	1	255	40	A01045:715:HMN2KDSX2:3:2331:27651:21167	
chr21	6666049	R	2	255	41	A01045:715:HMN2KDSX2:3:1333:11460:34240,A01045:715:HMN2KDSX2:3:1422:14579:14622	
chr21	6666304	R	1	255	36	A01045:715:HMN2KDSX2:3:2206:13630:3803	
chr21	6667380	R	2	255	41	A01045:715:HMN2KDSX2:3:1126:12337:4633,A01045:715:HMN2KDSX2:3:2126:15917:2503	
chr21	6668278	R	1	255	36	A01045:715:HMN2KDSX2:3:1103:4797:19069	
chr21	6668767	R	1	255	40	A01045:715:HMN2KDSX2:3:2204:15709:23249	
chr21	6670604	R	2	255	23	A01045:715:HMN2KDSX2:3:1669:8314:36746,A01045:715:HMN2KDSX2:3:2124:14118:32957	
chr21	6986941	L	2	255	32	A01045:715:HMN2KDSX2:3:2305:30933:26005,A01045:715:HMN2KDSX2:3:1637:15067:10802	
chr21	6987363	L	1	255	29	A01045:715:HMN2KDSX2:3:1126:1108:18505	
chr21	6988133	L	1	255	36	A01045:715:HMN2KDSX2:3:2166:20790:13103	
chr21	6988264	L	1	255	30	A01045:715:HMN2KDSX2:3:1614:13395:27508	
